seccion	gls_seccion	division	gls_division	clase	gls_clase
C	Industrias manufactureras	20	FABRICACIÓN DE SUBSTANCIAS Y PRODUCTOS QUÍMICOS.	2030	Fabricación de fibras artificiales
C	Industrias manufactureras	21	FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS DE USO FARMACÉUTICO.	2100	Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico
C	Industrias manufactureras	22	FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO.	2211	Fabricación de cubiertas y cámaras de caucho, recauchutado y renovación de cubiertas de caucho
C	Industrias manufactureras	22	FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO.	2219	Fabricación de otros productos de caucho
C	Industrias manufactureras	22	FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICO.	2220	Fabricación de productos de plástico
C	Industrias manufactureras	23	FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS.	2310	Fabricación de vidrio y productos de vidrio
C	Industrias manufactureras	23	FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS.	2391	Fabricación de productos refractarios
C	Industrias manufactureras	23	FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS.	2392	Fabricación de materiales de construcción de arcilla
C	Industrias manufactureras	23	FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS.	2393	Fabricación de otros productos de porcelana y de cerámica
C	Industrias manufactureras	23	FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS.	2394	Fabricación de cemento, cal y yeso
C	Industrias manufactureras	23	FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS.	2395	Fabricación de artículos de hormigón, cemento y yeso
C	Industrias manufactureras	23	FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS.	2396	Corte, talla y acabado de la piedra
C	Industrias manufactureras	23	FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS.	2399	Fabricación de otros productos minerales no metálicos n.c.p.
C	Industrias manufactureras	24	FABRICACIÓN DE METALES COMUNES.	2410	Industrias básicas de hierro y acero
C	Industrias manufactureras	24	FABRICACIÓN DE METALES COMUNES.	2420	Fabricación de productos primarios de metales preciosos y otros metales no ferrosos
C	Industrias manufactureras	24	FABRICACIÓN DE METALES COMUNES.	2431	Fundición de hierro y acero
C	Industrias manufactureras	24	FABRICACIÓN DE METALES COMUNES.	2432	Fundición de metales no ferrosos
C	Industrias manufactureras	25	FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO.	2511	Fabricación de productos metálicos para uso estructural
C	Industrias manufactureras	25	FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO.	2512	Fabricación de tanques, depósitos y recipientes de metal
C	Industrias manufactureras	25	FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO.	2513	Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central
C	Industrias manufactureras	25	FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO.	2520	Fabricación de armas y municiones
C	Industrias manufactureras	25	FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO.	2591	Forja, prensado, estampado y laminado de metales, pulvimetalurgia
C	Industrias manufactureras	25	FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO.	2592	Tratamiento y revestimiento de metales, maquinado
C	Industrias manufactureras	25	FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO.	2593	Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería
C	Industrias manufactureras	25	FABRICACIÓN DE PRODUCTOS ELABORADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO.	2599	Fabricación de otros productos elaborados de metal n.c.p.
C	Industrias manufactureras	26	FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA.	2610	Fabricación de componentes y tableros electrónicos
C	Industrias manufactureras	26	FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA.	2620	Fabricación de computadores y equipo periférico
C	Industrias manufactureras	26	FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA.	2630	Fabricación de equipo de comunicaciones
C	Industrias manufactureras	26	FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA.	2640	Fabricación de aparatos electrónicos de consumo
C	Industrias manufactureras	26	FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA.	2651	Fabricación de equipo de medición, prueba, navegación y control
C	Industrias manufactureras	26	FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA.	2652	Fabricación de relojes
C	Industrias manufactureras	26	FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA.	2660	Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico
C	Industrias manufactureras	26	FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA.	2670	Fabricación de instrumentos ópticos y equipo fotográfico
C	Industrias manufactureras	26	FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA.	2680	Fabricación de soportes magnéticos y ópticos
C	Industrias manufactureras	27	FABRICACIÓN DE EQUIPO ELÉCTRICO.	2710	Fabricación de motores, generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica
C	Industrias manufactureras	27	FABRICACIÓN DE EQUIPO ELÉCTRICO.	2720	Fabricación de pilas, baterías y acumuladores
C	Industrias manufactureras	27	FABRICACIÓN DE EQUIPO ELÉCTRICO.	2731	Fabricación de cables de fibra óptica
C	Industrias manufactureras	27	FABRICACIÓN DE EQUIPO ELÉCTRICO.	2732	Fabricación de otros hilos y cables eléctricos
C	Industrias manufactureras	27	FABRICACIÓN DE EQUIPO ELÉCTRICO.	2733	Fabricación de dispositivos de cableado
C	Industrias manufactureras	27	FABRICACIÓN DE EQUIPO ELÉCTRICO.	2740	Fabricación de equipo eléctrico de iluminación
C	Industrias manufactureras	27	FABRICACIÓN DE EQUIPO ELÉCTRICO.	2750	Fabricación de aparatos de uso doméstico
C	Industrias manufactureras	27	FABRICACIÓN DE EQUIPO ELÉCTRICO.	2790	Fabricación de otros tipos de equipo eléctrico
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2811	Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2812	Fabricación de equipo de propulsión de fluidos
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2813	Fabricación de otras bombas, compresores, grifos y válvulas
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2814	Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2815	Fabricación de hornos, calderas y quemadores
C	Industrias manufactureras	28	FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.P.	2816	Fabricación de equipo de elevación y manipulación
