Seccion	Gls_Seccion	Grupo	Gls_Grupo	Clase	Gls_Clase
C	Industrias manufactureras	271	Fabricación de motores, generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica	2710	Fabricación de motores, generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica
C	Industrias manufactureras	272	Fabricación de pilas, baterías y acumuladores	2720	Fabricación de pilas, baterías y acumuladores
C	Industrias manufactureras	273	Fabricación de cables y dispositivos de cableado	2731	Fabricación de cables de fibra óptica
C	Industrias manufactureras	273	Fabricación de cables y dispositivos de cableado	2732	Fabricación de otros hilos y cables eléctricos
C	Industrias manufactureras	273	Fabricación de cables y dispositivos de cableado	2733	Fabricación de dispositivos de cableado
C	Industrias manufactureras	274	Fabricación de equipo eléctrico de iluminación	2740	Fabricación de equipo eléctrico de iluminación
C	Industrias manufactureras	275	Fabricación de aparatos de uso doméstico	2750	Fabricación de aparatos de uso doméstico
C	Industrias manufactureras	279	Fabricación de otros tipos de equipo eléctrico	2790	Fabricación de otros tipos de equipo eléctrico
C	Industrias manufactureras	281	Fabricación de maquinaria de uso general	2811	Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas
C	Industrias manufactureras	281	Fabricación de maquinaria de uso general	2812	Fabricación de equipo de propulsión de fluidos
C	Industrias manufactureras	281	Fabricación de maquinaria de uso general	2813	Fabricación de otras bombas, compresores, grifos y válvulas
C	Industrias manufactureras	281	Fabricación de maquinaria de uso general	2814	Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión
C	Industrias manufactureras	281	Fabricación de maquinaria de uso general	2815	Fabricación de hornos, calderas y quemadores
C	Industrias manufactureras	281	Fabricación de maquinaria de uso general	2816	Fabricación de equipo de elevación y manipulación
C	Industrias manufactureras	281	Fabricación de maquinaria de uso general	2817	Fabricación de maquinaria y equipo de oficina (excepto computadores y equipo periférico)
C	Industrias manufactureras	281	Fabricación de maquinaria de uso general	2818	Fabricación de herramientas de mano motorizadas
C	Industrias manufactureras	281	Fabricación de maquinaria de uso general	2819	Fabricación de otros tipos de maquinaria de uso general
C	Industrias manufactureras	282	Fabricación de maquinaria de uso especial	2821	Fabricación de maquinaria agropecuaria y forestal
C	Industrias manufactureras	282	Fabricación de maquinaria de uso especial	2822	Fabricación de maquinaria para la conformación de metales y de máquinas herramienta
C	Industrias manufactureras	282	Fabricación de maquinaria de uso especial	2823	Fabricación de maquinaria metalúrgica
C	Industrias manufactureras	282	Fabricación de maquinaria de uso especial	2824	Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción
C	Industrias manufactureras	282	Fabricación de maquinaria de uso especial	2825	Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco
C	Industrias manufactureras	282	Fabricación de maquinaria de uso especial	2826	Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros
C	Industrias manufactureras	282	Fabricación de maquinaria de uso especial	2829	Fabricación de otros tipos de maquinaria de uso especial
C	Industrias manufactureras	291	Fabricación de vehículos automotores	2910	Fabricación de vehículos automotores
C	Industrias manufactureras	292	Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques	2920	Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques
C	Industrias manufactureras	293	Fabricación de partes, piezas y accesorios para vehículos automotores	2930	Fabricación de partes, piezas y accesorios para vehículos automotores
C	Industrias manufactureras	301	Construcción de buques y otras embarcaciones	3011	Construcción de buques y estructuras flotantes
C	Industrias manufactureras	301	Construcción de buques y otras embarcaciones	3012	Construcción de embarcaciones de recreo y de deporte
C	Industrias manufactureras	302	Fabricación de locomotoras y material rodante	3020	Fabricación de locomotoras y material rodante
C	Industrias manufactureras	303	Fabricación de aeronaves, naves espaciales y maquinaria conexa	3030	Fabricación de aeronaves, naves espaciales y maquinaria conexa
C	Industrias manufactureras	304	Fabricación de vehículos militares de combate	3040	Fabricación de vehículos militares de combate
C	Industrias manufactureras	309	Fabricación de equipo de transporte n.c.p.	3091	Fabricación de motocicletas
C	Industrias manufactureras	309	Fabricación de equipo de transporte n.c.p.	3092	Fabricación de bicicletas y de sillas de ruedas para inválidos
C	Industrias manufactureras	309	Fabricación de equipo de transporte n.c.p.	3099	Fabricación de otros tipos de equipo de transporte n.c.p.
C	Industrias manufactureras	310	Fabricación de muebles	3100	Fabricación de muebles
C	Industrias manufactureras	321	Fabricación de joyas, bisutería y artículos conexos	3211	Fabricación de joyas y artículos conexos
C	Industrias manufactureras	321	Fabricación de joyas, bisutería y artículos conexos	3212	Fabricación de bisutería y artículos conexos
C	Industrias manufactureras	322	Fabricación de instrumentos musicales	3220	Fabricación de instrumentos musicales
C	Industrias manufactureras	323	Fabricación de artículos de deporte	3230	Fabricación de artículos de deporte
C	Industrias manufactureras	324	Fabricación de juegos y juguetes	3240	Fabricación de juegos y juguetes
C	Industrias manufactureras	325	Fabricación de instrumentos y materiales médicos y odontológicos	3250	Fabricación de instrumentos y materiales médicos y odontológicos
C	Industrias manufactureras	329	Otras industrias manufactureras n.c.p.	3290	Otras industrias manufactureras n.c.p.
C	Industrias manufactureras	331	Reparación de productos elaborados de metal, maquinaria y equipo	3311	Reparación de productos elaborados de metal
C	Industrias manufactureras	331	Reparación de productos elaborados de metal, maquinaria y equipo	3312	Reparación de maquinaria
C	Industrias manufactureras	331	Reparación de productos elaborados de metal, maquinaria y equipo	3313	Reparación de equipo electrónico y óptico
C	Industrias manufactureras	331	Reparación de productos elaborados de metal, maquinaria y equipo	3314	Reparación de equipo eléctrico
C	Industrias manufactureras	331	Reparación de productos elaborados de metal, maquinaria y equipo	3315	Reparación de equipo de transporte, excepto vehículos automotores
C	Industrias manufactureras	331	Reparación de productos elaborados de metal, maquinaria y equipo	3319	Reparación de otros tipos de equipo
C	Industrias manufactureras	332	Instalación de maquinaria y equipos industriales	3320	Instalación de maquinaria y equipos industriales
D	Suministro de electricidad, gas, vapor y aire acondicionado	351	Generación, transmisión y distribución de energía eléctrica	3510	Generación, transmisión y distribución de energía eléctrica
D	Suministro de electricidad, gas, vapor y aire acondicionado	352	Fabricación de gas; distribución de combustibles gaseosos por tuberías	3520	Fabricación de gas; distribución de combustibles gaseosos por tuberías
D	Suministro de electricidad, gas, vapor y aire acondicionado	353	Suministro de vapor y de aire acondicionado	3530	Suministro de vapor y de aire acondicionado
E	Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación	360	Captación, tratamiento y distribución de agua	3600	Captación, tratamiento y distribución de agua
E	Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación	370	Evacuación de aguas residuales	3700	Evacuación de aguas residuales
E	Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación	381	Recogida de desechos	3811	Recogida de desechos no peligrosos
E	Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación	381	Recogida de desechos	3812	Recogida de desechos peligrosos
E	Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación	382	Tratamiento y eliminación de desechos	3821	Tratamiento y eliminación de desechos no peligrosos
E	Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación	382	Tratamiento y eliminación de desechos	3822	Tratamiento y eliminación de desechos peligrosos
E	Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación	383	Recuperación de materiales	3830	Recuperación de materiales
E	Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación	390	Actividades de descontaminación y otros servicios de gestión de desechos	3900	Actividades de descontaminación y otros servicios de gestión de desechos
F	Construcción	410	Construcción de edificios	4100	Construcción de edificios para uso residencial y no residencial
F	Construcción	421	Construcción de carreteras y líneas de ferrocarril	4210	Construcción de carreteras y líneas de ferrocarril
